"ID","Name","Mfg_Dt","Exp_Dt","Price"
"17"," atenolol","06-03-2020","31-01-2022","320"
"53","Acetylsalicylic","21-02-2020","03-01-2022","122"
"57","allopurinol","01-03-2020","05-03-2022","200"
"34","aluminium hydroxide","06-03-2020","30-01-2022","340"
"30","amiloride","23-02-2020","01-01-2022","400"
"24","amlodipine","30-01-2020","21-01-2022","120"
"59","azathioprine","25-02-2020","30-01-2022","256"
"6","biperiden","03-03-2020","15-01-2022","120"
"25","calamine lotion","04-03-2020","28-02-2022","320"
"58","chloroquine","21-02-2020","01-01-2022","300"
"27","coal tar","03-03-2020","15-01-2022","122"
"55","codeine","04-03-2020","01-01-2022","400"
"2","dexamethasone","01-02-2020","22-01-2022","256"
"52","Diazepam","01-03-2020","02-02-2022","150"
"28","dithranol","04-02-2020","05-02-2022","120"
"21","epinephrine (adrenaline)","01-02-2020","28-02-2022","230"
"8","ferrous salt","24-01-2020","23-02-2022","400"
"9","ferrous salt + folic acid","23-02-2020","01-01-2022","200"
"43","fludrocortisone","26-03-2020","31-01-2022","540"
"10","folic acid","06-03-2020","28-03-2022","200"
"29","furosemide","24-01-2020","23-02-2022","160"
"47","glibenclamide","23-02-2020","28-02-2022","300"
"18","glyceryl trinitrate","24-02-2020","24-01-2022","200"
"12","heparin sodium","23-02-2020","01-01-2022","256"
"3","hydrocortisone","24-02-2020","21-01-2022","230"
"11","hydroxocobalamin","24-02-2020","05-03-2022","300"
"54","Ibuprofen","25-02-2020","05-02-2022","120"
"48","insulin injection (solubl","04-02-2020","30-03-2022","256"
"49","intermediate?acting insul","24-01-2020","15-01-2022","230"
"19","isosorbide dinitrate","01-02-2020","22-01-2022","300"
"62","levamisole","04-02-2020","28-03-2022","200"
"7","levodopa + carbidopa","04-02-2020","05-02-2022","320"
"46","levonorgestrel","24-01-2020","21-01-2022","200"
"22","lidocaine","30-03-2020","24-01-2022","340"
"35","magnesium hydroxide","24-02-2020","03-01-2022","540"
"32","mannitol","09-03-2020","05-03-2022","256"
"63","mebendazole","06-03-2020","05-03-2022","200"
"50","metformin","23-02-2020","22-01-2022","340"
"60","methotrexate","30-01-2020","31-01-2022","230"
"39","metoclopramide","30-03-2020","28-03-2022","300"
"56","morphine","26-03-2020","28-03-2022","200"
"64","niclosamide","24-02-2020","01-01-2022","300"
"36","omeprazole","01-02-2020","05-02-2022","120"
"40","ondansetron","25-02-2020","05-03-2022","256"
"13","phytomenadione","24-02-2020","30-01-2022","230"
"65","praziquantel","01-02-2020","30-01-2022","256"
"4","prednisolone","01-02-2020","28-02-2022","340"
"14","protamine sulfate","03-02-2020","31-01-2022","340"
"66","pyrantel","24-02-2020","31-01-2022","230"
"37","ranitidine","24-02-2020","23-02-2022","320"
"31","spironolactone","03-02-2020","28-03-2022","300"
"41","sulfasalazine","30-01-2020","01-01-2022","230"
"5","tamoxifen","26-03-2020","30-03-2022","540"
"45","testosterone","04-02-2020","22-01-2022","320"
"20","verapamil","24-02-2020","21-01-2022","256"
"1","vincristine","24-02-2020","24-01-2022","300"
"15","warfarin","09-03-2020","24-01-2022","540"
